,lat_min,lon_min,lat_mid,lon_mid,lat_max,lon_max
151,440755.0,4973151.0,440906.0,4973302.0,441057.0,4973453.0
152,440755.0,4973453.0,440906.0,4973604.0,441057.0,4973755.0
153,440755.0,4973755.0,440906.0,4973906.0,441057.0,4974057.0
154,440755.0,4974057.0,440906.0,4974208.0,441057.0,4974359.0
155,440755.0,4974359.0,440906.0,4974510.0,441057.0,4974661.0
156,440755.0,4974661.0,440906.0,4974812.0,441057.0,4974963.0
157,440755.0,4974963.0,440906.0,4975114.0,441057.0,4975265.0
158,440755.0,4975265.0,440906.0,4975416.0,441057.0,4975567.0
159,440755.0,4975567.0,440906.0,4975718.0,441057.0,4975869.0
160,440755.0,4975869.0,440906.0,4976020.0,441057.0,4976171.0
161,440755.0,4976171.0,440906.0,4976322.0,441057.0,4976473.0
162,440755.0,4976473.0,440906.0,4976624.0,441057.0,4976775.0
163,440755.0,4976775.0,440906.0,4976926.0,441057.0,4977077.0
164,440755.0,4977077.0,440906.0,4977228.0,441057.0,4977379.0
165,440755.0,4977379.0,440906.0,4977530.0,441057.0,4977681.0
166,440755.0,4977681.0,440906.0,4977832.0,441057.0,4977983.0
167,440755.0,4977983.0,440906.0,4978134.0,441057.0,4978285.0
168,440755.0,4978285.0,440906.0,4978436.0,441057.0,4978587.0
169,440755.0,4978587.0,440906.0,4978738.0,441057.0,4978889.0
170,440755.0,4978889.0,440906.0,4979040.0,441057.0,4979191.0
171,440755.0,4979191.0,440906.0,4979342.0,441057.0,4979493.0
172,440755.0,4979493.0,440906.0,4979644.0,441057.0,4979795.0
173,440755.0,4979795.0,440906.0,4979946.0,441057.0,4980097.0
174,440755.0,4980097.0,440906.0,4980248.0,441057.0,4980399.0
175,440755.0,4980399.0,440906.0,4980550.0,441057.0,4980701.0
176,440755.0,4980701.0,440906.0,4980852.0,441057.0,4981003.0
177,440755.0,4981003.0,440906.0,4981154.0,441057.0,4981305.0
178,440755.0,4981305.0,440906.0,4981456.0,441057.0,4981607.0
179,440755.0,4981607.0,440906.0,4981758.0,441057.0,4981909.0
180,440755.0,4981909.0,440906.0,4982060.0,441057.0,4982211.0
181,440755.0,4982211.0,440906.0,4982362.0,441057.0,4982513.0
182,440755.0,4982513.0,440906.0,4982664.0,441057.0,4982815.0
183,440755.0,4982815.0,440906.0,4982966.0,441057.0,4983117.0
184,440755.0,4983117.0,440906.0,4983268.0,441057.0,4983419.0
185,440755.0,4983419.0,440906.0,4983570.0,441057.0,4983721.0
186,440755.0,4983721.0,440906.0,4983872.0,441057.0,4984023.0
187,440755.0,4984023.0,440906.0,4984174.0,441057.0,4984325.0
188,440755.0,4984325.0,440906.0,4984476.0,441057.0,4984627.0
189,440755.0,4984627.0,440906.0,4984778.0,441057.0,4984929.0
190,440755.0,4984929.0,440906.0,4985080.0,441057.0,4985231.0
191,440755.0,4985231.0,440906.0,4985382.0,441057.0,4985533.0
192,440755.0,4985533.0,440906.0,4985684.0,441057.0,4985835.0
193,440755.0,4985835.0,440906.0,4985986.0,441057.0,4986137.0
194,440755.0,4986137.0,440906.0,4986288.0,441057.0,4986439.0
195,440755.0,4986439.0,440906.0,4986590.0,441057.0,4986741.0
196,440755.0,4986741.0,440906.0,4986892.0,441057.0,4987043.0
197,440755.0,4987043.0,440906.0,4987194.0,441057.0,4987345.0
198,440755.0,4987345.0,440906.0,4987496.0,441057.0,4987647.0
199,440755.0,4987647.0,440906.0,4987798.0,441057.0,4987949.0
200,441057.0,4972849.0,441208.0,4973000.0,441359.0,4973151.0
201,441057.0,4973151.0,441208.0,4973302.0,441359.0,4973453.0
202,441057.0,4973453.0,441208.0,4973604.0,441359.0,4973755.0
203,441057.0,4973755.0,441208.0,4973906.0,441359.0,4974057.0
204,441057.0,4974057.0,441208.0,4974208.0,441359.0,4974359.0
205,441057.0,4974359.0,441208.0,4974510.0,441359.0,4974661.0
206,441057.0,4974661.0,441208.0,4974812.0,441359.0,4974963.0
207,441057.0,4974963.0,441208.0,4975114.0,441359.0,4975265.0
208,441057.0,4975265.0,441208.0,4975416.0,441359.0,4975567.0
209,441057.0,4975567.0,441208.0,4975718.0,441359.0,4975869.0
210,441057.0,4975869.0,441208.0,4976020.0,441359.0,4976171.0
211,441057.0,4976171.0,441208.0,4976322.0,441359.0,4976473.0
212,441057.0,4976473.0,441208.0,4976624.0,441359.0,4976775.0
213,441057.0,4976775.0,441208.0,4976926.0,441359.0,4977077.0
214,441057.0,4977077.0,441208.0,4977228.0,441359.0,4977379.0
215,441057.0,4977379.0,441208.0,4977530.0,441359.0,4977681.0
216,441057.0,4977681.0,441208.0,4977832.0,441359.0,4977983.0
217,441057.0,4977983.0,441208.0,4978134.0,441359.0,4978285.0
218,441057.0,4978285.0,441208.0,4978436.0,441359.0,4978587.0
219,441057.0,4978587.0,441208.0,4978738.0,441359.0,4978889.0
220,441057.0,4978889.0,441208.0,4979040.0,441359.0,4979191.0
221,441057.0,4979191.0,441208.0,4979342.0,441359.0,4979493.0
222,441057.0,4979493.0,441208.0,4979644.0,441359.0,4979795.0
223,441057.0,4979795.0,441208.0,4979946.0,441359.0,4980097.0
224,441057.0,4980097.0,441208.0,4980248.0,441359.0,4980399.0
225,441057.0,4980399.0,441208.0,4980550.0,441359.0,4980701.0
